wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90, centyl97
0,12,13,14,14.9,15.5,16,16.9
1,12.6,13.4,13.7,14.7,15.6,16.2,17.2
2,13.4,14.2,14.7,15.7,16.6,17.2,18.2
3,14,14.8,15.3,16.3,17.3,17.9,19
4,14.3,15.2,15.7,16.7,17.7,18.3,19.4
5,14.5,15.4,15.9,16.9,17.9,18.5,19.6
6,14.6,15.4,15.9,16.9,18,18.6,19.7
7,14.6,15.4,15.9,16.9,18,18.6,19.6
8,14.6,15.4,15.8,16.8,17.9,18.5,19.5
9,14.5,15.3,15.8,16.7,17.8,18.4,19.4
10,14.4,15.2,15.7,16.6,17.7,18.2,19.3
11,14.3,15.1,15.5,16.5,17.5,18.1,19.1
12,14.2,15,15.4,16.3,17.4,17.9,19
13,14.1,14.8,15.3,16.2,17.3,17.8,18.8
14,14,14.7,15.2,16.1,17.1,17.7,18.7
15,13.9,14.6,15.1,16,17,17.5,18.6
16,13.8,14.5,15,15.9,16.9,17.4,18.4
17,13.8,14.5,14.9,15.8,16.8,17.3,18.3
18,13.7,14.4,14.8,15.7,16.7,17.2,18.2
19,13.6,14.3,14.8,15.6,16.6,17.1,18.1
20,13.6,14.3,14.7,15.6,16.5,17.1,18.1
21,13.6,14.2,14.7,15.5,16.5,17,18
22,13.5,14.2,14.6,15.5,16.4,17,17.9
23,13.5,14.2,14.6,15.4,16.4,16.9,17.9
24,13.5,14.1,14.6,15.4,16.3,16.9,17.8